height,weight,bmi,cat,age,vegNonveg,gender,calorie_intake,food
146,90,42,2,39,0,1,1722,"Breakfast: 2 Cottage Cheese Sandwiches - Lunch: Yoghurt Lettuce Sandwich - Dinner: Mixed Beans and Spinach Pasta"
141,103,51,2,38,1,0,1637,"Breakfast: 2 Southwestern Eggs - Lunch: Tuna & White Bean Salad - Dinner: Taco Salad Bowl"
158,89,35,2,41,1,0,1313,"Breakfast: Egg White Oatmeal with Blueberries - Lunch: Hummus on Rye - Dinner: Cucumbers and Egg Salad"
154,65,27,2,56,0,0,1315,"Breakfast: Knock-Oats - Lunch: Cottage Cheese & Strawberries - Dinner: Cheesy Spinach Scramble"
182,99,29,2,60,1,0,1783,"Breakfast: Oatmeal and raisins - Lunch: Turkey Lettuce Cheese Rollups - Dinner: Taco Salad Bowl"
142,60,29,2,41,1,0,845,"Breakfast: Oatmeal Cottage Cheese Pancake - Lunch: Tuna-Stuffed Tomato - Dinner: Steamed Broccoli"
141,101,50,2,58,1,0,1473,"Breakfast: Nectarine Oatmeal - Lunch: Turkey and Swiss Sandwich - Dinner: Prawn Stir Fry"
162,80,30,2,53,0,0,1163,"Breakfast: PB&J Smoothie - Lunch: Simple Cabbage Salad - Dinner: Skilet Creamy Lemon Pasta"
191,109,29,2,38,1,0,2147,"Breakfast: Bagel with Cream Cheese - Lunch: Paleo Avocado Chicken Salad - Dinner: 2 Prosciutto Sandwiches with Spinach"
168,81,28,2,23,1,0,1955,"Breakfast: Turkey and Spinach Omelet - Lunch: Hummus Avocado Toast - Dinner: Shrimp and Corn with Basil"
156,104,42,2,33,0,0,1813,"Breakfast: Banana Peanut Butter Chia Pudding - Lunch: Kidney Beans Lettuce Cheese Rollups - Dinner: 2 Lavash Vegetable Wraps"
142,63,31,2,30,1,0,947,"Breakfast: Granola - Lunch: Tuna-Stuffed Tomato - Dinner: Peanut Butter and Peach Toast"
182,108,32,2,24,0,0,1823,"Breakfast: Peaches and Cream Oatmeal - Lunch: Paleo Avocado Beans Salad - Dinner: Balsamic Soyachunks and Mushrooms"
151,94,41,2,55,1,0,1483,"Breakfast: 2 Grown-Up PB&J Toast - Lunch: 2 Tuna and Avocado Wraps - Dinner: 2 Chicken Wraps"
164,104,38,2,52,0,0,1472,"Breakfast: Oatmeal banana pancakes - Lunch: Paleo Avocado Beans Salad - Dinner: Soyachunks and Tomato Kabobs"
158,99,39,2,17,1,0,1872,"Breakfast: 2 Eggs, Mushroom Omelet - Lunch: 2 ALT (Avocado, Lettuce, and Tomato) Sandwiches - Dinner: Chicken & Mayo Bagel"
195,110,28,2,23,0,0,2298,"Breakfast: Banana Nut Oatmeal- Lunch: Cucumber Sandwich,Yogurt with Almonds & Honey- Dinner:One-Pot Spaghetti with Fresh Tomato Sauce"
184,104,30,2,16,1,0,2170,"Breakfast: Mini Pizzas - Lunch: Tuna and Ranch Garden Salad, 2 Calorie Hummus - Dinner: Cottage Cheese and Spinach Sandwich, Easy Hard-Boiled Eggs"
155,78,32,2,51,0,0,1099,"Breakfast: Seedy Hummus Toast- Lunch: 2 Calorie Hummus- Dinner: Pasta with Fresh Tomato Sauce"
190,102,28,2,46,0,0,2315,"Breakfast: Spinach, Onion, Mushroom, and Bell Pepper Egg White Omelet, Morning Roasted Potatoes- Lunch: Tahini on Rye - Dinner: Quick and Easy Grilled Cheese"
146,65,30,2,34,0,0,977,"Breakfast: Fruit salad - Lunch: Lemon Avocado Salad - Dinner: White Rice"
140,100,51,2,60,1,0,1691,"Breakfast: PB&J Smoothie, Whole Wheat Toast - Lunch: Hummus on Whole Wheat - Dinner: Spicy Chicken Salad, Fire Roasted Tomatoes with Cheese"
178,102,32,2,37,1,0,1947,"Breakfast: Blackberry Almond Butter Sandwich - Lunch: Tuna-Stuffed Tomato,Peach and Peanut Butter Snack - Dinner: Chicken Parmesan, Easy Sautéed Spinach"
143,108,52,2,60,1,0,1315,"Breakfast: Fruit and Yogurt Smoothie - Lunch:Yogurt & Strawberries - Dinner: Cheesy Chorizo Chicken and Spinach"
154,99,41,2,30,1,0,2044,"Breakfast:Oatmeal Cottage Cheese Pancakes - Lunch:Chicken Celery Sticks, Tossed Tomatoes, Cucumber, and Red Peppers - Dinner: Gourmet Grilled Cheese"
174,108,35,2,27,0,0,2063,"Breakfast: Island in the Sun Smoothie - Lunch: Fruit & Vegetable Plate with Almonds & Cheese, 2 Calorie Hummus - Dinner: Pineapple, Black Beans, and Couscous"
178,91,28,2,44,1,0,1748,"Breakfast: Eggs Baked in Avocado- Lunch: Chicken and cheese sandwich, Carrots - Dinner: Chicken & Mayo Bagel, Roasted Broccoli with Parmesan Lemon Butter Sauce"
143,64,31,2,23,1,0,1009,"Breakfast: Microwave Vanilla Banana Oat Cake- Lunch: Lime Chicken Salad, Quick and Easy Homemade Hummus - Dinner: BLT sandwich"
168,99,35,2,38,1,0,1526,"Breakfast: Spinach Avocado Smoothie Bowl, Oranges - Lunch:Turkey Lettuce Rollups, Cottage Cheese & Raspberries - Dinner: BBQ Chicken Sandwich, Roasted Green Beans"
159,83,32,2,60,1,0,1135,"Breakfast:PB&J Smoothie - Lunch: Peanut butter and jelly- Dinner: Grilled Steak with Pepper Relish"
160,108,42,2,53,0,0,2063,"Breakfast: Oat Bran Pancake, Warm Blueberry Yogurt - Lunch: Big PB&J Sandwich - Dinner: + Dinner Pita Pizza, Steamed Broccoli with Olive Oil and Parmesan"
151,80,35,2,25,1,0,1249,"Breakfast: Grown-Up PB&J Toast - Lunch: Light Raspberry yogurt - Dinner: Caulif2er Chicken Fried Rice"
141,80,40,2,50,1,0,1468,"Breakfast: Egg White Avocado & Tomato Scramble- Lunch: Tuna Stuffed Pepper, Turkey and Avocado Wrap - Dinner: Chicken and Ranch Wrap"
142,107,53,2,46,1,0,1646,"Breakfast: Chocolate peanut protein shake- Lunch: Fruit & Vegetable Plate with Almonds & Cheese- Dinner: Chicken Kabobs"
140,108,55,2,32,1,0,1460,"Breakfast: Berry Yogurt Smoothie- Lunch: Tuna Stuffed Pepper- Dinner: Kielbasa, Pepper, Onion and Potato Hash"
144,103,49,2,22,1,0,2071,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake- Lunch: Turkey, Cheddar, and Mustard Sandwich- Dinner: Oriental Chicken Stir-Fry"
145,97,46,2,55,1,0,1473,"Breakfast: Berry Yogurt Smoothie- Lunch: Fruit & Vegetable Plate with Almonds & Cheese- Dinner: Kielbasa, Pepper, Onion and Potato Hash"
173,95,31,2,42,0,0,2073,"Breakfast: Mexican Pepper and Cheese Quesadilla- Lunch: Apricot Jam and Almond Butter Sandwich- Dinner: Spinach Tomato Quesadilla"
168,108,38,2,55,0,0,2125,"Breakfast: Bagel with Cream Cheese- Lunch: Big PB&J Sandwich- Dinner: Pasta with Red Sauce and Mozzarella"
148,110,50,2,28,1,0,1568,"Breakfast: Tropical protein smoothie- Lunch: Fruit & Vegetable Plate with Almonds & Cheese- Dinner: Easy Grilled Chicken Teriyaki"
177,101,32,2,46,1,0,1570,"Breakfast: Make Ahead Burritos- Lunch: Yogurt & Banana- Dinner: Cheesy Chicken and Spinach"
171,99,33,2,24,1,0,2255,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake- Lunch: Turkey Sandwich- Dinner: Turkey Bacon BLT Sandwich"
146,91,42,2,59,0,0,1618,"Breakfast: Oatmeal banana protein shake- Lunch: Simple Caprese Sandwich- Dinner: Mozzarella and Hummus on MultiGrain Flatbread"
182,90,27,2,27,1,0,2199,"Breakfast: Sunrise Smoothie- Lunch: Chicken Caesar Wraps- Dinner: BLT sandwich"
189,103,28,2,25,0,0,2137,"Breakfast: Parfait- Lunch: Big PB&J Sandwich- Dinner: Pasta with Red Sauce and Mozzarella"
165,76,27,2,27,1,0,1548,"Breakfast: Nutella and Banana Toast- Lunch: Tomato and Hummus on Rye- Dinner: Toaster Oven Mozzarella Tortilla Pizza"
159,89,35,2,32,1,0,1375,"Breakfast: Smoothie- Lunch: Tuna Mex Tuna Salad- Dinner: Chicken Kabobs"
191,87,23,3,41,0,1,2236,"Breakfast: Mexican Pepper and Cheese Quesadilla- Lunch: Simple Caprese Sandwich- Dinner: Pasta with Red Sauce and Mozzarella"
173,69,23,3,46,0,1,2396,"Breakfast: Everything Bagel with Cream Cheese and Cucumber- Lunch: Apricot Jam and Almond Butter Sandwich- Dinner: Greek Pasta with Tomatoes and White Beans"
161,54,20,3,27,1,1,1940,"Breakfast: Chocolate peanut protein shake- Lunch: Chicken and avocado salad- Dinner: Pasta la Checca"
189,85,23,3,52,1,1,2131,"Breakfast: Peanut Butter & Banana Oatmeal- Lunch: Peanut Butter and Honey Sandwich on Rye- Dinner: Easy Grilled Chicken Teriyaki"
192,71,19,3,45,0,1,2619,"Breakfast: Toasted Chili Pepper Cheese Sandwich- Lunch: Peanut butter and jelly- Dinner: + Dinner Pita Pizza"
171,65,22,3,53,0,1,1998,"Breakfast: Oatmeal banana protein shake- Lunch: Tomato and Cheese Wrap- Dinner: Greek Pasta with Tomatoes and White Beans"
163,65,24,3,18,1,1,1900,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake- Lunch: Banana Avocado Protein Smoothie- Dinner: Chicken Kabobs"
156,55,22,3,38,0,1,1835,"Breakfast: Kale White Bean and Pesto Salad- Lunch:Oatmeal and raisins- Dinner: Spinach and Sun-dried Tomato Sandwich"
169,74,25,3,43,0,1,2173,"Breakfast: Mexican Pepper and Cheese Quesadilla- Lunch: Fruit salad- Dinner: 2 Fat Bean and Cheese Burrito"
140,49,25,3,33,1,1,1867,"Breakfast: Vegetable 3 Egg Scramble- Lunch: Cottage Cheese Tuna Salad- Dinner: 2 Fat Bean and Cheese Burrito"
155,54,22,3,25,0,1,1666,"Breakfast: Cottage Cheese with Fruit and Granola- Lunch: Veggie and Hummus Sandwich- Dinner: Grilled Cheese with Tomato, Peppers and Basil"
163,69,25,3,52,0,1,1991,"Breakfast: Spinach, Pepper, and Tomato Scramble on Toast- Lunch: Potato Chip Sandwich- Dinner: + Dinner Pita Pizza"
172,51,17,3,45,1,1,1638,"Breakfast: Chocolate peanut protein shake- Lunch: Corn Tuna Salad- Dinner: Chicken Kabobs"
164,58,21,3,39,1,1,2193,"Breakfast: Chicken and Cottage Cheese Sandwich- Lunch: Chicken Celery Sticks- Dinner: BBQ Chicken Sandwich"
174,64,21,3,58,1,1,1976,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake- Lunch: Apricot Jam and Almond Butter Sandwich- Dinner: Easy Microwave Sausage, Kale, and White Beans"
181,77,23,3,20,0,1,2474,"Breakfast: Peanut Butter Protein Oats- Lunch: Simple Caprese Sandwich- Dinner: Broccoli & Feta Pasta Salad"
179,66,20,3,26,1,1,2265,"Breakfast: Cranberry-Banana Oatmeal- Lunch: Chicken Celery Sticks- Dinner: Grilled turkey sandwich"
145,44,20,3,20,0,1,1501,"Breakfast: Peanut Butter Protein Oats- Lunch: Chocolate Peanut Butter Protein Shake- Dinner: White Bean and Kale Soup"
187,90,25,3,57,1,1,2772,"Breakfast: Strawberry Protein Shake- Lunch: Tuna and Ranch Garden Salad- Dinner: Shredded Chicken White Nachos"
181,68,20,3,44,1,1,2186,"Breakfast: Oats with Rice Milk and Banana- Lunch: Tuna and Ranch Garden Salad- Dinner: BBQ Chicken Sandwich"
187,74,21,3,59,0,1,1942,"Breakfast: Cottage Cheese with Fruit and Granola- Lunch: Simple Caprese Sandwich- Dinner: Pasta with Baby Broccoli and Beans"
193,75,20,3,21,1,1,2543,"Breakfast: Banana oatmeal smoothie- Lunch: Tuna and Ranch Garden Salad- Dinner: BBQ Chicken Sandwich"
162,58,22,3,20,0,1,2321,"Breakfast: Spinach, Pepper, and Tomato Scramble on Toast- Lunch: Simple Caprese Sandwich- Dinner: Pasta with Creamy Spinach and Mushroom Sauce"
170,64,22,3,35,0,1,2099,"Breakfast: Bagel with Cream Cheese- Lunch: Fruit salad- Dinner: Pasta with Baby Broccoli and Beans"
193,93,24,3,48,1,1,2281,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake- Lunch: Pinto Bean salad- Dinner: Greek Style Ravioli"
161,53,20,3,42,0,1,1823,"Breakfast: Strawberry Oatmeal- Lunch: ALT (Avocado, Lettuce, and Tomato) Sandwiches- Dinner: Grilled Cheese with Tomato, Peppers and Basil"
142,43,21,3,21,1,1,1887,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake- Lunch: King Crab Salad- Dinner: Spicy Chicken soup"
153,48,20,3,26,1,1,1796,"Breakfast: Oatmeal banana protein shake- Lunch: Turkey, Cheddar, and Mustard Sandwich- Dinner: BLT sandwich"
190,82,22,3,34,0,1,2524,"Breakfast: Peanut Butter Banana Oatmeal Shake- Lunch: Lemon Avocado Salad- Dinner: One-Pot Spaghetti with Fresh Tomato Sauce"
144,51,24,3,56,1,1,1759,"Breakfast: Chocolate peanut protein shake- Lunch: King Crab Salad- Dinner:Spicy Chicken soup"
163,64,24,3,26,1,1,2377,"Breakfast: Banana oatmeal smoothie- Lunch: Tuna and Ranch Garden Salad Sandwich- Dinner: Basic Chicken Quesadilla"
